conceptId,conceptName,vocabularyId,conceptSetName,target
201254,Type 1 diabetes mellitus,SNOMED,doi,Disease of interest
435216,Disorder due to type 1 diabetes mellitus,SNOMED,doi,Disease of interest
201826,Type 2 diabetes mellitus,SNOMED,alternativeDiagnosis,Disease of interest
4311629,Impaired glucose tolerance,SNOMED,alternativeDiagnosis,Disease of interest
195596,Chronic pancreatitis,SNOMED,alternativeDiagnosis,Disease of interest
195771,Secondary diabetes mellitus,SNOMED,alternativeDiagnosis,Disease of interest
441267,Cystic fibrosis,SNOMED,alternativeDiagnosis,Disease of interest
195212,Hypercortisolism,SNOMED,alternativeDiagnosis,Disease of interest
4163735,Hemochromatosis,SNOMED,alternativeDiagnosis,Disease of interest
438476,Vasopressin resistance,SNOMED,alternativeDiagnosis,Disease of interest
201530,Hyperosmolar coma due to type 2 diabetes mellitus,SNOMED,alternativeDiagnosis,Disease of interest
443734,Ketoacidosis due to type 2 diabetes mellitus,SNOMED,alternativeDiagnosis,Disease of interest
432454,Excessive thirst,SNOMED,symptoms,Disease of interest
79936,Polyuria,SNOMED,symptoms,Disease of interest
438872,Excessive eating,SNOMED,symptoms,Disease of interest
40491502,Unintentional weight loss,SNOMED,symptoms,Disease of interest
435928,Abnormal weight loss,SNOMED,symptoms,Disease of interest
4223659,Fatigue,SNOMED,symptoms,Disease of interest
40304526,Nocturia,SNOMED,symptoms,Disease of interest
374034,Visual disturbance,SNOMED,symptoms,Disease of interest
373786,Abnormal vision,SNOMED,symptoms,Disease of interest
4184149,Feeling irritable,SNOMED,symptoms,Disease of interest
31967,Nausea,SNOMED,symptoms,Disease of interest
45763927,Level of nausea,SNOMED,symptoms,Disease of interest
4101344,Finding of vomiting,SNOMED,symptoms,Disease of interest
200219,Abdominal pain,SNOMED,symptoms,Disease of interest
4226991,Xerostomia,SNOMED,symptoms,Disease of interest
136184,Pruritic disorder,SNOMED,symptoms,Disease of interest
378253,Headache,SNOMED,symptoms,Disease of interest
200843,Finding of frequency of urination,SNOMED,symptoms,Disease of interest
200845,Urgent desire to urinate,SNOMED,symptoms,Disease of interest
317002,Low blood pressure,SNOMED,symptoms,Disease of interest
4272240,Malaise,SNOMED,symptoms,Disease of interest
4202045,Postviral fatigue syndrome,SNOMED,symptoms,Disease of interest
4012231,Poor stream of urine,SNOMED,symptoms,Disease of interest
197672,Urinary incontinence,SNOMED,symptoms,Disease of interest
4080921,Polymorphous light eruption,SNOMED,symptoms,Disease of interest
4090425,Altered sensation of skin,SNOMED,symptoms,Disease of interest
376961,Disturbance of consciousness,SNOMED,symptoms,Disease of interest
438134,Hypersomnia,SNOMED,symptoms,Disease of interest
