conceptId,conceptName,vocabularyId,conceptSetName,target
192671,Gastrointestinal hemorrhage,SNOMED,doi,Disease of interest
4103703,Melena,SNOMED,doi,Disease of interest
4027663,Peptic ulcer,SNOMED,alternativeDiagnosis,Disease of interest
24966,Esophageal varices,SNOMED,alternativeDiagnosis,Disease of interest
4310024,Angiodysplasia of stomach,SNOMED,alternativeDiagnosis,Disease of interest
441394,Meckel's diverticulum,SNOMED,alternativeDiagnosis,Disease of interest
198798,Dieulafoy's vascular malformation,SNOMED,alternativeDiagnosis,Disease of interest
30753,Esophagitis,SNOMED,alternativeDiagnosis,Disease of interest
318800,Gastroesophageal reflux disease,SNOMED,alternativeDiagnosis,Disease of interest
443344,Barrett's esophagus,SNOMED,alternativeDiagnosis,Disease of interest
201061,Diaphragmatic hernia,SNOMED,alternativeDiagnosis,Disease of interest
433516,Duodenitis,SNOMED,alternativeDiagnosis,Disease of interest
201340,Gastritis,SNOMED,alternativeDiagnosis,Disease of interest
196463,Alcoholic cirrhosis,SNOMED,alternativeDiagnosis,Disease of interest
194692,Cirrhosis - non-alcoholic,SNOMED,alternativeDiagnosis,Disease of interest
192680,Portal hypertension,SNOMED,alternativeDiagnosis,Disease of interest
4134603,Vascular disorder of intestine,SNOMED,alternativeDiagnosis,Disease of interest
4316228,Congenital arteriovenous malformation of gastrointestinal tract,SNOMED,alternativeDiagnosis,Disease of interest
37110322,Diverticulosis of large intestine,SNOMED,alternativeDiagnosis,Disease of interest
4285898,Polyp of colon,SNOMED,alternativeDiagnosis,Disease of interest
4216644,Rectal polyp,SNOMED,alternativeDiagnosis,Disease of interest
75580,Chronic ulcerative proctitis,SNOMED,alternativeDiagnosis,Disease of interest
4272488,Colitis,SNOMED,alternativeDiagnosis,Disease of interest
4319280,Acute bowel infarction,SNOMED,alternativeDiagnosis,Disease of interest
4113547,Lesion of stomach,SNOMED,alternativeDiagnosis,Disease of interest
46269837,Gastric hemorrhage due to chronic superficial gastritis,SNOMED,alternativeDiagnosis,Disease of interest
