conceptId,conceptName,vocabularyId,conceptSetName,target
201254,Type 1 diabetes mellitus,SNOMED,doi,Disease of interest
435216,Disorder due to type 1 diabetes mellitus,SNOMED,doi,Disease of interest
201826,Type 2 diabetes mellitus,SNOMED,alternativeDiagnosis,Disease of interest
195771,Secondary diabetes mellitus,SNOMED,alternativeDiagnosis,Disease of interest
195212,Hypercortisolism,SNOMED,alternativeDiagnosis,Disease of interest
438476,Vasopressin resistance,SNOMED,alternativeDiagnosis,Disease of interest
40480068,Drug-induced hyperglycemia,SNOMED,alternativeDiagnosis,Disease of interest
4163735,Hemochromatosis,SNOMED,alternativeDiagnosis,Disease of interest
193170,Renal glycosuria,SNOMED,alternativeDiagnosis,Disease of interest
37016349,Hyperglycemia due to type 2 diabetes mellitus,SNOMED,alternativeDiagnosis,Disease of interest
201530,Hyperosmolar coma due to type 2 diabetes mellitus,SNOMED,alternativeDiagnosis,Disease of interest
443734,Ketoacidosis due to type 2 diabetes mellitus,SNOMED,alternativeDiagnosis,Disease of interest
4200875,Type 2 diabetes mellitus with peripheral angiopathy,SNOMED,alternativeDiagnosis,Disease of interest
4192640,Pancreatitis,SNOMED,alternativeDiagnosis,Disease of interest
79936,Polyuria,SNOMED,symptoms,Disease of interest
432454,Excessive thirst,SNOMED,symptoms,Disease of interest
4168226,Micturition frequency and polyuria,SNOMED,symptoms,Disease of interest
438872,Excessive eating,SNOMED,symptoms,Disease of interest
439141,Abnormal weight gain,SNOMED,symptoms,Disease of interest
4134010,Weight decreased,SNOMED,symptoms,Disease of interest
4223659,Fatigue,SNOMED,symptoms,Disease of interest
373786,Abnormal vision,SNOMED,symptoms,Disease of interest
4027502,Reduced visual acuity,SNOMED,symptoms,Disease of interest
40304526,Nocturia,SNOMED,symptoms,Disease of interest
31967,Nausea,SNOMED,symptoms,Disease of interest
4101344,Finding of vomiting,SNOMED,symptoms,Disease of interest
317376,Tachypnea,SNOMED,symptoms,Disease of interest
4195873,Breath smells unpleasant,SNOMED,symptoms,Disease of interest
79908,Muscle weakness,SNOMED,symptoms,Disease of interest
4184149,Feeling irritable,SNOMED,symptoms,Disease of interest
436817,Feeling nervous,SNOMED,symptoms,Disease of interest
4272240,Malaise,SNOMED,symptoms,Disease of interest
4037885,Visual symptoms,SNOMED,symptoms,Disease of interest
197672,Urinary incontinence,SNOMED,symptoms,Disease of interest
4012231,Poor stream of urine,SNOMED,symptoms,Disease of interest
4116811,Pain of truncal structure,SNOMED,symptoms,Disease of interest
197981,Abdominal tenderness,SNOMED,symptoms,Disease of interest
4090431,Discomfort,SNOMED,symptoms,Disease of interest
